Episode,Date,Guests,Topics,Polls,Stream,ILoF on YT
46,11-May-2020,"Jamal Greene (@jamalgreene), Nic Suzor (@nicsuzor), John Samples (@johnsamplescato)",Facebook oversight board,,https://www.youtube.com/watch?v=ujT6UH-Zgrk,
45,10-May-2020,"Hannah Neprash (@hannahneprash), Alan Rozenshtein (@arozenshtein)","life, travel, food, weather, Kate's cowlick",,https://www.youtube.com/watch?v=CI8a-k9uibU,
44,9-May-2020,(none),,,https://www.youtube.com/watch?v=RzxpF8fHdeg,
43,8-May-2020,Emily Bell (@emilybell),"journalism, protest",,https://www.youtube.com/watch?v=YzjaXi8GONM,
42,7-May-2020,Margaret Taylor (@MargLTaylor),"reporting, norms, DoJ, DC gallows humour",,https://www.youtube.com/watch?v=rhRBI6zc6Ss,
41,6-May-2020,"Nicole Wong (@nicolewong), Alex Macgillivray (@amac), Evelyn Douek (@evelyndouek)","big tech, media platforms",,https://www.youtube.com/watch?v=oYRMd-X77w0,
40,5-May-2020,Will DeWitt,"medicine, quarantine, the plague",,https://www.youtube.com/watch?v=A-sAEYCSQ7c,
39,4-May-2020,"Leah Litman (@LeahLitman), Dahlia Lithwick (@dahlialithwick)","law, trials, hearings, procedure",,https://www.youtube.com/watch?v=WAk_6VboUgk,
38,3-May-2020,Jeff Horwitz (@JeffHorwitz),"bees, murder hornets",,https://www.youtube.com/watch?v=Q-R2jyi108o,
37,2-May-2020,Yascha Mounk (@Yascha_Mounk),"coronavirus, governance, cabin in the woods",,https://www.youtube.com/watch?v=-xfccHfAw1I,
36,1-May-2020,Seth Magaziner (@SethMagaziner),"coronavirus, state revenue, census, tales out of school",,https://www.youtube.com/watch?v=vIlU7BbCPlw,
35,30-Apr-2020,David Plotz (@davidplotz),"writing, journalism, DoJ",,https://www.youtube.com/watch?v=cADFrW2GHLo,
34,29-Apr-2020,Toomas Hendrick Ilves (@IlvesToomas),"leadership, social media, computers",,https://www.youtube.com/watch?v=2XBkAAaBrpQ,
33,28-Apr-2020,Preet Bharara (@PreetBharara),"crime, prosecution, law",,https://www.youtube.com/watch?v=xSCPjSMk6oo,
32,27-Apr-2020,Ada Palmer (@Ada_Palmer),"history, The Renaissance, speculative fiction",,https://www.youtube.com/watch?v=ni3wmotnr2Q,
31,26-Apr-2020,"Sarah Longwell (@SarahLongwell25), Yascha Mounk","politics, life, baby cannon, cabin in the woods",,https://www.youtube.com/watch?v=FamjIjc_XOs,
30,25-Apr-2020,(none),,,https://www.youtube.com/watch?v=0mVSAhA7g6Y,
29,24-Apr-2020,Noah Feldman (@NoahRFeldman),"law, impeachment, courts; pugilism week; ILoF video",,https://www.youtube.com/watch?v=RYZAut8elnA,
28,23-Apr-2020,Kate Darling (@grok_),robots and the meaning of belonging,,https://www.youtube.com/watch?v=kCZRZrZ9hRA,
27,22-Apr-2020,Randy Barnett (@RandyEBarnett),"government, rights, coronavirus; pugilism week",,https://www.youtube.com/watch?v=kxVZ9yv4EeE,
26,21-Apr-2020,Lisa Page (@natseclisa) in absentia; Molly Jong Fast (@MollyJongFast) in presentia,"performative vilification, presidential abusiveness",,https://www.youtube.com/watch?v=aOxJQY-rSsg,
25,20-Apr-2020,"Orin Kerr (@OrinKerr), Scott Shapiro (@scottjshapiro)","jurisprudence, kayfabe social media grudge matches; pugilism week",,https://www.youtube.com/watch?v=SDrh_KyJtmM,
24,19-Apr-2020,"Carrie Goldberg, Yorrick ""YoRock"" Anderson","content moderation, section 230, mixed martial-arts",,https://www.youtube.com/watch?v=t0PMWLoZt04,
23,18-Apr-2020,(none),,,https://www.youtube.com/watch?v=iEs5ZVZt6fY,
22,17-Apr-2020,Hannah Neprash (@hannahneprash),"life, economics, policy limericks",,https://www.youtube.com/watch?v=r8vZPqeZc44,
21,16-Apr-2020,"Dan Drezner (@dandrezner), Maggie Feldman-Piltch","presidential norms, room rater, neighbors & singing",,https://www.youtube.com/watch?v=YR40vyRGdcg,
20,15-Apr-2020,Quinta Jurecic (@qjurecic),"law, expertise, politics",,https://www.youtube.com/watch?v=CL-sppxnIas,
19,14-Apr-2020,"Sarah Roberts (@ubiquity75), Jillian York (@jilliancyork)","online speech, a.k.a. speech",,https://www.youtube.com/watch?v=6IPTzcQ4PJc,
18,13-Apr-2020,Evelyn Douek (@evelyndouek),Facebook oversight board,,https://www.youtube.com/watch?v=9D-yg7eBbSY,
17,12-Apr-2020,Jonathan Rauch,the hamartia of democracies,,https://www.youtube.com/watch?v=2XbTRLKELqU,
16,11-Apr-2020,(none),,,https://www.youtube.com/watch?v=5r9q2Zwygg4,
15,10-Apr-2020,Doug Bernstein,"coronavirus, medical response",,https://www.youtube.com/watch?v=C883ChjIHdw,
14,9-Apr-2020,Kori Schake (@KoriSchake),surviving the plague and Trumpism,,https://www.youtube.com/watch?v=uWgXMvJC2Eo,
13,8-Apr-2020,"Virginia Heffernan (@page88), Mike Pesca (@pescami)",responding to crisis; following the money,,https://www.youtube.com/watch?v=lz65Bwiau2w,
12,7-Apr-2020,Alan Rozenshtein (@arozenshtein),"surviving the plague; democracy, policy, and government leadership",,https://www.youtube.com/watch?v=xrofDaV8mPk,
11,6-Apr-2020,"Alex Stamos (@alexstamos), Nate Persily (@persily)",elections in the time of coronavirus,,https://www.youtube.com/watch?v=dzhZpWYQezE,
10,5-Apr-2020,"Dan Drezner (@dandrezner), Scott Shapiro (@scottjshapiro)","law, twitter, life, coronavirus",,https://www.youtube.com/watch?v=73dll8bSuYs,
9,4-Apr-2020,(none),,,https://www.youtube.com/watch?v=0zCGwLbUNWI,
8,3-Apr-2020,Amanda Sloat (@A_Sloat),coronavirus response,,https://www.youtube.com/watch?v=-i7UkLg7-a4,
7,2-Apr-2020,"Jack Balkin, Jordan Ellenberg (@JSEllenberg)",education in the time of coronavirus,,https://www.youtube.com/watch?v=kmJMRn0x51c,
6,1-Apr-2020,Jon Turk,wild outdoor adventure,,https://www.youtube.com/watch?v=KNqZDaaSP60,
5,31-Mar-2020,Orin Kerr (@OrinKerr),"law, legal education, life, and music",,https://www.youtube.com/watch?v=yIkbO7u7V5o,
4,30-Mar-2020,Danielle Citron (@daniellecitron),online abuse,,https://www.youtube.com/watch?v=fqN2cuNnsMQ,
3,29-Mar-2020,"Mike Chase, Ken White, Cory Doctorow (@doctorow), Emily Herson (@emilyherson)",,,https://www.youtube.com/watch?v=fVLJfGjf7GI,
2,26-Mar-2020,"Maggie Feldman-Piltch, Alex Stamos",,,https://www.youtube.com/watch?v=Jvp10Ve6LQs,
1,25-Mar-2020,Anna Salvatore (@hischoolscotus),"supreme court, learning",,https://www.youtube.com/watch?v=sVthy2h3XAk,
0,24-Mar-2020,Danielle Citron (@daniellecitron),"""screen time"" in the time of coronavirus",,https://www.youtube.com/watch?v=8lqhrhjwyrk,
-1,25-Mar-2020,(none),,,https://www.youtube.com/watch?v=SORmEeTQUX4,
test,24-Mar-2020,(none),,,https://www.youtube.com/watch?v=XIpo3obwAb0,
